Names	total	elements
fc_AUS.csv fc_CHN.csv fc_DEU.csv fc_FRA.csv fc_USA.csv	2	Fusobacterium sp. oral taxon 370 [ref_mOTU_v2_1403],
		unknown Porphyromonas [meta_mOTU_v2_6490],
fc_AUS.csv fc_CHN.csv fc_FRA.csv fc_USA.csv	4	Fusobacterium gonidiaformans [ref_mOTU_v2_1404],
		Porphyromonas somerae [ref_mOTU_v2_2101],
		unknown Prevotella [meta_mOTU_v2_5780],
		Alloprevotella tannerae [ref_mOTU_v2_4636],
fc_AUS.csv fc_DEU.csv fc_FRA.csv fc_USA.csv	4	Prevotella intermedia [ref_mOTU_v2_0515],
		Fusobacterium nucleatum s. nucleatum [ref_mOTU_v2_0777],
		unknown Dialister [meta_mOTU_v2_5867],
		Prevotella nigrescens [ref_mOTU_v2_0276],
fc_AUS.csv fc_CHN.csv fc_DEU.csv	2	unknown Porphyromonas [meta_mOTU_v2_5431],
		Clostridium sp. CAG:413 [meta_mOTU_v2_7152],
fc_AUS.csv fc_DEU.csv fc_FRA.csv	3	unknown Sutterella [meta_mOTU_v2_5677],
		Fusobacterium varium [ref_mOTU_v2_4311],
		unknown Bacteroides [meta_mOTU_v2_5618],
fc_AUS.csv fc_DEU.csv fc_USA.csv	4	Parvimonas sp. [ref_mOTU_v2_4961],
		unknown Porphyromonas [meta_mOTU_v2_7777],
		Parvimonas sp. [ref_mOTU_v2_5245],
		Pyramidobacter piscolens [ref_mOTU_v2_4064],
fc_AUS.csv fc_FRA.csv fc_USA.csv	2	unknown Eggerthella [meta_mOTU_v2_7693],
		Porphyromonas uenonis [ref_mOTU_v2_4616],
fc_CHN.csv fc_DEU.csv fc_USA.csv	1	Porphyromonas uenonis [ref_mOTU_v2_2102],
fc_DEU.csv fc_FRA.csv fc_USA.csv	3	Prevotella oris [ref_mOTU_v2_0520],
		unknown Clostridiales [meta_mOTU_v2_5754],
		Fusobacterium nucleatum s. vincentii [ref_mOTU_v2_0754],
fc_AUS.csv fc_CHN.csv	3	unknown Clostridium [meta_mOTU_v2_6147],
		unknown Dehalococcoidales [meta_mOTU_v2_5435],
		unknown Prevotella [meta_mOTU_v2_6911],
fc_AUS.csv fc_DEU.csv	2	Prevotella sp. CAG:617 [meta_mOTU_v2_6833],
		Prevotella sp. CAG:279 [meta_mOTU_v2_5405],
fc_AUS.csv fc_FRA.csv	4	unknown Firmicutes [meta_mOTU_v2_6595],
		unknown Phascolarctobacterium [meta_mOTU_v2_5554],
		unknown Firmicutes [meta_mOTU_v2_5720],
		unknown Bacteroidales [meta_mOTU_v2_6949],
fc_AUS.csv fc_USA.csv	1	unknown Prevotellaceae [meta_mOTU_v2_7319],
fc_CHN.csv fc_DEU.csv	3	Megasphaera massiliensis [ref_mOTU_v2_2684],
		Clostridium clostridioforme [ref_mOTU_v2_0980],
		unknown Clostridium [meta_mOTU_v2_5748],
fc_CHN.csv fc_FRA.csv	7	Clostridium sp. CAG:798 [meta_mOTU_v2_7020],
		unknown Clostridiales [meta_mOTU_v2_6238],
